seed,policy,route_minutes,time_total,life_total,units_delivered,avg_minutes_per_unit,score_alpha,score_beta,weighted_score,deliveries,route
1,NearestNeighborPolicy,46,126,3815991.449760998,570,6694.721841685961,1.0,0.001,-3689.9914497609984,10,"[0, 3, 6, 2, 7, 10, 8, 4, 1, 9, 5, 0]"
1,TwoOptPolicy,46,126,3815991.5135802403,570,6694.721953649544,1.0,0.001,-3689.9915135802403,10,"[0, 3, 6, 2, 7, 10, 8, 4, 1, 9, 5, 0]"
1,ORToolsTSPPolicy,31,111,3815991.5165629582,570,6694.721958882383,1.0,0.001,-3704.991516562958,10,"[0, 1, 9, 8, 4, 3, 6, 5, 2, 7, 10, 0]"
2,NearestNeighborPolicy,36,116,3815991.753846928,570,6694.722375170049,1.0,0.001,-3699.991753846928,10,"[0, 5, 9, 3, 1, 8, 7, 10, 4, 6, 2, 0]"
2,TwoOptPolicy,32,112,3815991.7373977946,570,6694.722346311921,1.0,0.001,-3703.9917373977946,10,"[0, 5, 9, 3, 1, 8, 7, 6, 4, 10, 2, 0]"
2,ORToolsTSPPolicy,31,111,3815991.5743259075,570,6694.72206022089,1.0,0.001,-3704.9915743259075,10,"[0, 6, 4, 10, 2, 7, 5, 9, 8, 1, 3, 0]"
3,NearestNeighborPolicy,30,110,3815991.6958124703,570,6694.722273355211,1.0,0.001,-3705.9916958124704,10,"[0, 10, 2, 1, 4, 9, 6, 7, 8, 3, 5, 0]"
3,TwoOptPolicy,30,110,3815991.744605821,570,6694.722358957581,1.0,0.001,-3705.991744605821,10,"[0, 10, 2, 1, 4, 9, 6, 7, 8, 3, 5, 0]"
3,ORToolsTSPPolicy,30,110,3815991.6645852025,570,6694.7222185705305,1.0,0.001,-3705.9916645852027,10,"[0, 10, 9, 6, 7, 1, 4, 5, 3, 8, 2, 0]"
4,NearestNeighborPolicy,33,113,3815991.6637801854,570,6694.72221715822,1.0,0.001,-3702.9916637801853,10,"[0, 6, 2, 1, 7, 5, 10, 9, 4, 3, 8, 0]"
4,TwoOptPolicy,33,113,3815991.550471628,570,6694.722018371277,1.0,0.001,-3702.991550471628,10,"[0, 6, 2, 1, 7, 5, 10, 9, 4, 3, 8, 0]"
4,ORToolsTSPPolicy,27,107,3815991.7278676424,570,6694.722329592355,1.0,0.001,-3708.9917278676426,10,"[0, 6, 10, 5, 4, 9, 8, 7, 2, 1, 3, 0]"
5,NearestNeighborPolicy,41,121,3815991.281108626,570,6694.721545804608,1.0,0.001,-3694.991281108626,10,"[0, 8, 1, 3, 2, 4, 9, 10, 5, 6, 7, 0]"
5,TwoOptPolicy,41,121,3815991.3484130045,570,6694.721663882464,1.0,0.001,-3694.9913484130047,10,"[0, 8, 1, 3, 2, 4, 9, 10, 5, 6, 7, 0]"
5,ORToolsTSPPolicy,30,110,3815991.6304001207,570,6694.722158596703,1.0,0.001,-3705.991630400121,10,"[0, 8, 9, 4, 10, 3, 2, 1, 5, 6, 7, 0]"
6,NearestNeighborPolicy,34,114,3815991.6846684637,570,6694.7222538043225,1.0,0.001,-3701.9916846684637,10,"[0, 5, 4, 6, 3, 9, 8, 7, 10, 2, 1, 0]"
6,TwoOptPolicy,34,114,3815991.6558091366,570,6694.722203173924,1.0,0.001,-3701.991655809137,10,"[0, 5, 4, 6, 3, 9, 8, 7, 10, 2, 1, 0]"
6,ORToolsTSPPolicy,24,104,3815991.632759255,570,6694.722162735535,1.0,0.001,-3711.991632759255,10,"[0, 2, 7, 10, 1, 8, 4, 5, 6, 3, 9, 0]"
7,NearestNeighborPolicy,31,111,3815991.6027904837,570,6694.722110158744,1.0,0.001,-3704.9916027904837,10,"[0, 3, 10, 2, 6, 8, 1, 5, 4, 7, 9, 0]"
7,TwoOptPolicy,29,109,3815991.7752380106,570,6694.722412698264,1.0,0.001,-3706.9917752380106,10,"[0, 10, 3, 2, 6, 8, 1, 5, 4, 7, 9, 0]"
7,ORToolsTSPPolicy,27,107,3815991.2801721725,570,6694.721544161706,1.0,0.001,-3708.9912801721725,10,"[0, 9, 7, 4, 5, 6, 8, 1, 3, 2, 10, 0]"
8,NearestNeighborPolicy,41,121,3815991.64810017,570,6694.722189649421,1.0,0.001,-3694.99164810017,10,"[0, 6, 5, 8, 3, 9, 2, 7, 1, 10, 4, 0]"
8,TwoOptPolicy,36,116,3815991.3591892095,570,6694.721682788087,1.0,0.001,-3699.9913591892096,10,"[0, 1, 10, 5, 8, 3, 9, 2, 7, 6, 4, 0]"
8,ORToolsTSPPolicy,28,108,3815991.6389281405,570,6694.722173558142,1.0,0.001,-3707.9916389281407,10,"[0, 6, 8, 9, 3, 2, 7, 1, 10, 5, 4, 0]"
9,NearestNeighborPolicy,30,110,3815991.7916985666,570,6694.722441576433,1.0,0.001,-3705.991791698567,10,"[0, 5, 2, 3, 6, 9, 1, 7, 8, 4, 10, 0]"
9,TwoOptPolicy,29,109,3815991.818046848,570,6694.722487801488,1.0,0.001,-3706.991818046848,10,"[0, 5, 2, 3, 6, 9, 1, 7, 4, 8, 10, 0]"
9,ORToolsTSPPolicy,27,107,3815991.585358439,570,6694.722079576209,1.0,0.001,-3708.991585358439,10,"[0, 5, 2, 3, 6, 4, 8, 10, 9, 1, 7, 0]"
10,NearestNeighborPolicy,41,121,3815991.574759261,570,6694.72206098116,1.0,0.001,-3694.9915747592613,10,"[0, 5, 1, 2, 4, 7, 10, 3, 8, 9, 6, 0]"
10,TwoOptPolicy,36,116,3815991.274870162,570,6694.721534859933,1.0,0.001,-3699.9912748701618,10,"[0, 8, 3, 10, 7, 4, 2, 9, 5, 1, 6, 0]"
10,ORToolsTSPPolicy,28,108,3815991.4696806204,570,6694.721876632667,1.0,0.001,-3707.9914696806204,10,"[0, 1, 6, 3, 8, 10, 7, 4, 2, 9, 5, 0]"
11,NearestNeighborPolicy,42,122,3815991.6456916756,570,6694.722185423992,1.0,0.001,-3693.991645691676,10,"[0, 1, 3, 10, 5, 6, 7, 4, 8, 2, 9, 0]"
11,TwoOptPolicy,42,122,3815991.689604291,570,6694.722262463669,1.0,0.001,-3693.9916896042914,10,"[0, 1, 3, 10, 5, 6, 7, 4, 8, 2, 9, 0]"
11,ORToolsTSPPolicy,33,113,3815991.5958649362,570,6694.72209800866,1.0,0.001,-3702.9915958649362,10,"[0, 1, 6, 7, 4, 3, 10, 5, 9, 2, 8, 0]"
12,NearestNeighborPolicy,28,108,3815991.710503418,570,6694.722299128804,1.0,0.001,-3707.9917105034183,10,"[0, 1, 6, 5, 4, 8, 9, 10, 7, 3, 2, 0]"
12,TwoOptPolicy,28,108,3815991.805811032,570,6694.722466335144,1.0,0.001,-3707.9918058110325,10,"[0, 1, 6, 5, 4, 8, 9, 10, 7, 3, 2, 0]"
12,ORToolsTSPPolicy,24,104,3815991.586395248,570,6694.722081395172,1.0,0.001,-3711.991586395248,10,"[0, 2, 7, 3, 8, 4, 9, 10, 1, 6, 5, 0]"
13,NearestNeighborPolicy,30,110,3815991.715081069,570,6694.72230715977,1.0,0.001,-3705.9917150810693,10,"[0, 7, 4, 3, 9, 10, 1, 2, 8, 6, 5, 0]"
13,TwoOptPolicy,30,110,3815991.5417172126,570,6694.722003012654,1.0,0.001,-3705.991541717213,10,"[0, 7, 4, 3, 9, 10, 1, 2, 8, 6, 5, 0]"
13,ORToolsTSPPolicy,29,109,3815991.414863199,570,6694.721780461753,1.0,0.001,-3706.991414863199,10,"[0, 6, 5, 8, 2, 3, 4, 9, 10, 1, 7, 0]"
14,NearestNeighborPolicy,38,118,3815991.398669908,570,6694.72175205247,1.0,0.001,-3697.991398669908,10,"[0, 3, 7, 5, 9, 6, 1, 2, 4, 8, 10, 0]"
14,TwoOptPolicy,36,116,3815991.3910759143,570,6694.721738729674,1.0,0.001,-3699.991391075914,10,"[0, 3, 7, 5, 1, 6, 9, 2, 4, 8, 10, 0]"
14,ORToolsTSPPolicy,29,109,3815991.5827075727,570,6694.722074925567,1.0,0.001,-3706.991582707573,10,"[0, 10, 8, 7, 3, 4, 2, 5, 1, 9, 6, 0]"
15,NearestNeighborPolicy,27,107,3815991.6427833857,570,6694.722180321729,1.0,0.001,-3708.991642783386,10,"[0, 9, 5, 4, 2, 10, 7, 1, 3, 6, 8, 0]"
15,TwoOptPolicy,27,107,3815991.636402581,570,6694.722169127335,1.0,0.001,-3708.9916364025808,10,"[0, 9, 5, 4, 2, 10, 7, 1, 3, 6, 8, 0]"
15,ORToolsTSPPolicy,25,105,3815991.5092986347,570,6694.7219461379555,1.0,0.001,-3710.991509298635,10,"[0, 6, 8, 10, 2, 7, 3, 1, 4, 9, 5, 0]"
16,NearestNeighborPolicy,35,115,3815991.682397767,570,6694.722249820644,1.0,0.001,-3700.991682397767,10,"[0, 1, 2, 6, 5, 4, 3, 8, 7, 9, 10, 0]"
16,TwoOptPolicy,35,115,3815991.7210395215,570,6694.722317613196,1.0,0.001,-3700.9917210395215,10,"[0, 1, 2, 6, 5, 4, 3, 8, 7, 9, 10, 0]"
16,ORToolsTSPPolicy,26,106,3815991.6686318484,570,6694.72222566991,1.0,0.001,-3709.9916686318484,10,"[0, 10, 8, 7, 9, 3, 4, 1, 2, 6, 5, 0]"
17,NearestNeighborPolicy,47,127,3815991.442006082,570,6694.721828080846,1.0,0.001,-3688.991442006082,10,"[0, 6, 4, 1, 3, 8, 9, 10, 5, 7, 2, 0]"
17,TwoOptPolicy,45,125,3815991.344072909,570,6694.7216562682615,1.0,0.001,-3690.991344072909,10,"[0, 6, 4, 1, 10, 9, 8, 3, 5, 7, 2, 0]"
17,ORToolsTSPPolicy,33,113,3815991.5361745614,570,6694.721993288704,1.0,0.001,-3702.9915361745616,10,"[0, 10, 9, 1, 8, 3, 2, 6, 4, 5, 7, 0]"
18,NearestNeighborPolicy,28,108,3815991.7942812573,570,6694.722446107469,1.0,0.001,-3707.991794281257,10,"[0, 3, 4, 5, 9, 2, 6, 1, 10, 7, 8, 0]"
18,TwoOptPolicy,28,108,3815991.854258558,570,6694.722551330803,1.0,0.001,-3707.991854258558,10,"[0, 3, 4, 5, 9, 2, 6, 1, 10, 7, 8, 0]"
18,ORToolsTSPPolicy,22,102,3815991.725986541,570,6694.722326292177,1.0,0.001,-3713.991725986541,10,"[0, 4, 7, 8, 10, 6, 1, 9, 2, 5, 3, 0]"
19,NearestNeighborPolicy,32,112,3815991.7666054615,570,6694.722397553442,1.0,0.001,-3703.9917666054616,10,"[0, 2, 8, 10, 4, 5, 6, 7, 9, 1, 3, 0]"
19,TwoOptPolicy,25,105,3815991.587170315,570,6694.722082754938,1.0,0.001,-3710.991587170315,10,"[0, 10, 7, 6, 4, 5, 9, 2, 8, 1, 3, 0]"
